I, [2017-05-24T02:02:48.391745 #16729]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2017-05-24T02:02:48.392119 #16729] ERROR -- Kitchen: ------Exception-------
E, [2017-05-24T02:02:48.392158 #16729] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-05-24T02:02:48.392185 #16729] ERROR -- Kitchen: Message: Kitchen YAML file /root/intelie-ci/cookbooks/jenkins/recipes/.kitchen.yml does not exist.
E, [2017-05-24T02:02:48.392209 #16729] ERROR -- Kitchen: ----------------------
E, [2017-05-24T02:02:48.392233 #16729] ERROR -- Kitchen: ------Backtrace-------
E, [2017-05-24T02:02:48.392256 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-05-24T02:02:48.392280 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2017-05-24T02:02:48.392304 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2017-05-24T02:02:48.392328 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-05-24T02:02:48.392352 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-05-24T02:02:48.392375 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2017-05-24T02:02:48.392399 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-05-24T02:02:48.392422 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-05-24T02:02:48.392446 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2017-05-24T02:02:48.392470 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-05-24T02:02:48.392494 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:34:in `call'
E, [2017-05-24T02:02:48.392517 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2017-05-24T02:02:48.392541 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2017-05-24T02:02:48.392565 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2017-05-24T02:02:48.392589 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-05-24T02:02:48.392612 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-05-24T02:02:48.392650 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2017-05-24T02:02:48.392676 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2017-05-24T02:02:48.392701 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2017-05-24T02:02:48.392725 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-05-24T02:02:48.392750 #16729] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2017-05-24T02:02:48.392774 #16729] ERROR -- Kitchen: /usr/bin/kitchen:21:in `load'
E, [2017-05-24T02:02:48.392797 #16729] ERROR -- Kitchen: /usr/bin/kitchen:21:in `<main>'
E, [2017-05-24T02:02:48.392826 #16729] ERROR -- Kitchen: ----End Backtrace-----
